flux,time
-0.287262975,26775.8
-0.311071249,26799.278
-0.306606001,26822.756
-0.302282594,26846.239
-0.313901254,26869.715
-0.310084712,26893.191
-0.310554223,26916.674
-0.276553251,26940.157
-0.282084957,26963.635
-0.28208334,26987.116
-0.265651794,27010.6
-0.276472026,27034.085
-0.294907383,27057.567
-0.292037245,27081.048
-0.279438376,27104.529
-0.232556461,27128.008
-0.219414338,27151.489
-0.291461381,27174.971
-0.304245252,27198.45
-0.29850515,27221.927
-0.262731461,27245.409
-0.258104661,27268.886
-0.23562065,27292.368
-0.255622385,27315.85
-0.263441764,27339.328
-0.289969778,27362.812
-0.250416019,27386.294
-0.275117884,27409.78
-0.270676963,27433.258
-0.249062926,27456.738
-0.253114196,27480.225
-0.268199416,27503.701
-0.260997358,27527.18
-0.269157643,27550.661
-0.243196524,27574.138
-0.271745545,27597.615
-0.243380528,27621.101
-0.249383064,27644.587
-0.237785518,27668.072
-0.223769475,27691.553
-0.227818151,27715.034
-0.212811175,27738.511
-0.234588062,27761.991
-0.232021123,27785.468
-0.215454323,27808.948
-0.214301585,27832.427
-0.224499924,27855.907
-0.209483746,27879.39
-0.197056384,27902.866
-0.190154237,27926.35
-0.192689357,27949.832
-0.158601503,27973.308
-0.179154409,27996.791
-0.168455376,28020.273
-0.161703779,28043.759
-0.185201874,28067.241
-0.169443619,28090.718
-0.178319937,28114.201
-0.165806556,28137.678
-0.150884269,28161.156
-0.163832805,28184.645
-0.140164005,28208.122
-0.131183058,28231.606
-0.125566762,28255.088
-0.125990936,28278.573
-0.130881889,28302.055
-0.130027299,28325.537
-0.108318827,28349.018
-0.101815646,28372.504
-0.094577941,28395.981
-0.088678281,28419.459
-0.101408374,28442.936
-0.087716649,28466.413
-0.070146979,28489.897
-0.078909771,28513.389
-0.064682426,28536.87
-0.063684155,28560.353
-0.047258237,28583.836
-0.051841942,28607.313
-0.051724063,28630.795
-0.027189737,28654.276
-0.026082511,28677.754
-0.02095865,28701.233
-0.015587799,28724.71
-0.006604577,28748.193
0.006594789,28771.668
0.01152203,28795.143
0.01641697,28818.627
0.018575844,28842.103
0.03801675,28865.586
0.038187282,28889.069
0.04900154,28912.548
0.052626912,28936.03
0.048801276,28959.513
0.072851249,28982.992
0.071321514,29006.474
0.094320227,29029.953
0.08579245,29053.437
0.098359626,29076.916
0.090544944,29100.399
0.112655192,29123.882
0.119056202,29147.364
0.136707903,29170.842
0.135070098,29194.324
0.134976513,29217.808
0.121458093,29241.292
0.153008373,29264.775
0.150979466,29288.257
0.16654122,29311.737
0.167918606,29335.215
0.172246599,29358.692
0.173656854,29382.175
0.194779514,29405.65
0.193071105,29429.129
0.200432465,29452.61
0.191310429,29476.089
0.215608618,29499.573
0.22162148,29523.053
0.202927486,29546.529
0.213034803,29570.009
0.218177828,29593.496
0.252058279,29616.978
0.255258533,29640.459
0.256151472,29663.935
0.267896283,29687.418
0.26798107,29710.895
0.287102234,29734.372
0.267389812,29757.852
0.294829154,29781.329
0.283762509,29804.807
-0.005734021,29828.292
0.294711277,30133.565
0.344515984,30157.047
0.356486463,30180.524
0.298507147,30250.974
0.302268178,30274.452
0.32216918,30297.929
0.326478656,30321.414
0.320907017,30344.895
0.309528817,30368.373
0.288107906,30391.854
0.362706971,30415.328
0.374736121,30438.811
0.391854663,30462.293
0.377741573,30485.775
0.379008718,30509.266
0.406806747,30532.749
0.393056414,30556.231
0.358338629,30579.708
0.340490034,30603.188
0.359593082,30626.669
0.339675103,30650.146
0.365633912,30673.623
0.359415611,30697.106
0.380361271,30720.59
0.366729566,30744.068
0.364623568,30767.554
0.362893629,30791.036
0.35576914,30814.518
0.335389678,30838.001
0.347952492,30861.484
0.347491145,30884.965
0.341202855,30908.443
0.335413286,30931.92
0.316840889,30955.405
0.335284453,30978.885
0.339686582,31002.36
0.365443807,31025.842
0.31711487,31049.318
0.325170326,31072.8
0.296802869,31096.283
0.294731506,31119.76
0.300082674,31143.242
0.288391875,31166.729
0.268962884,31190.211
0.277219136,31213.69
0.28163463,31237.166
0.275073518,31260.659
